type,lat,lon,activity_score,year,nightlights,ndbi
diplomatic,-1.9493031000000005,30.1028907,1,2015,16.461239,0.05951469704160032
furniture,-1.9486929,30.058919,1,2015,28.444098,0.05951469704160032
stationery,-1.9483622,30.058369300000003,1,2015,28.444098,0.05951469704160032
supermarket,-1.9462186,30.0609472,1,2015,45.0858,0.05951469704160032
furniture,-1.9492706,30.05855439999999,1,2015,28.444098,0.05951469704160032
car,-1.9275407,30.0988599,1,2015,13.386457,0.05951469704160032
restaurant,-1.9385624,30.101538699999995,1,2015,10.9983425,0.05951469704160032
fast_food,-1.9515842000000003,30.1032627,1,2015,16.461239,0.05951469704160032
restaurant,-1.9382271,30.0778619,1,2015,18.911425,0.05951469704160032
restaurant,-1.9345273,30.0782476,1,2015,21.976782,0.05951469704160032
restaurant,-1.9377517,30.0885049,1,2015,12.969356,0.05951469704160032
cafe,-1.9358144,30.084572400000003,1,2015,19.939157,0.05951469704160032
guest_house,-1.9629285000000003,30.1206089,1,2015,17.035408,0.05951469704160032
